TransactionID,Product,UnitPrice,Revenue,Expenses,Date
NCX29,Health and Hygiene,146.7102,3791.0652,2698.02,2025-08-05
FDV20,Fruits and Vegetables,128.0678,2797.6916,1709.17,2025-08-06
DRZ11,Soft Drinks,122.5388,1609.9044,916.9,2025-08-07
FDX10,Snack Foods,36.9874,388.1614,266.61,2025-08-08
FDB34,Snack Foods,87.6198,2180.495,1391.22,2025-08-09
FDU02,Dairy,230.6352,3435.528,1973.39,2025-08-10
FDK43,Meat,126.002,2150.534,1395.77,2025-08-11
FDA46,Snack Foods,192.9136,2527.3768,1407.44,2025-08-12
FDC02,Canned,259.9278,6768.5228,4953.64,2025-08-13
FDL50,Canned,126.5046,373.5138,224.76,2025-08-14
FDM39,Dairy,178.1002,358.2004,244.47,2025-08-15
NCP05,Health and Hygiene,153.3024,2428.8384,1487.28,2025-08-16
FDV49,Canned,265.2226,5815.0972,3803.15,2025-08-17
FDL12,Baking Goods,60.622,2576.646,1698.89,2025-08-18
FDS02,Dairy,196.8794,780.3176,458.02,2025-08-19
NCL17,Health and Hygiene,143.8812,3134.5864,2331.87,2025-08-20
FDM40,Frozen Foods,141.5154,850.8924,599.9,2025-08-21
FDR13,Canned,117.0492,810.9444,598.4,2025-08-22
FDA43,Fruits and Vegetables,196.3794,3121.2704,2275.3,2025-08-23
NCP18,Household,151.4708,4815.0656,3224.07,2025-08-24
FDK21,Snack Foods,249.0408,6258.52,4596.1,2025-08-25
NCX54,Household,106.1622,2117.244,1201.96,2025-08-26
DRK35,Hard Drinks,38.0506,796.9626,469.57,2025-08-27
FDY21,Snack Foods,194.511,4910.275,2745.07,2025-08-28
FDI26,Canned,180.0344,892.172,548.74,2025-08-29
FDM20,Fruits and Vegetables,246.9144,3185.1872,1999.45,2025-08-30
FDV27,Meat,87.3514,1062.6168,642.11,2025-08-31
FDF09,Fruits and Vegetables,38.2848,484.7024,346.92,2025-09-01
FDY40,Frozen Foods,51.0692,147.8076,91.84,2025-09-02
FDY45,Snack Foods,255.8356,2543.356,1541.75,2025-09-03
FDC46,Snack Foods,185.4266,184.4266,121.45,2025-09-04
FDH19,Meat,172.5738,4865.6664,2813.25,2025-09-05
FDZ03,Dairy,186.024,1118.544,794.66,2025-09-06
DRH37,Soft Drinks,164.8526,2302.3364,1300.61,2025-09-07
NCI17,Health and Hygiene,95.841,2027.361,1515.2,2025-09-08
FDJ58,Snack Foods,170.1764,3435.528,2420.15,2025-09-09
FDL12,Baking Goods,59.222,599.22,353.39,2025-09-10
FDH35,Starchy Foods,164.7526,4604.6728,2537.66,2025-09-11
FDG02,Canned,189.6188,2285.0256,1629.43,2025-09-12
NCZ18,Household,254.3698,5580.7356,3858.36,2025-09-13
FDC29,Frozen Foods,114.0176,2290.352,1593.63,2025-09-14
FDQ10,Snack Foods,172.3422,1207.0954,850.1,2025-09-15
FDN48,Baking Goods,89.9804,643.1628,363.26,2025-09-16
FDL04,Frozen Foods,104.9622,1587.933,987.21,2025-09-17
FDV25,Canned,222.5456,5305.0944,3040.74,2025-09-18
FDD58,Snack Foods,101.87,1697.79,1226.86,2025-09-19
FDN04,Frozen Foods,180.3344,1427.4752,963.06,2025-09-20
FDV45,Snack Foods,187.9556,4693.89,2892.28,2025-09-21
NCL18,Household,194.6136,583.2408,328.2,2025-09-22
FDR12,Baking Goods,171.3764,3091.9752,1892.9,2025-09-23
FDG20,Fruits and Vegetables,177.0028,2479.4392,1524.95,2025-09-24
FDZ55,Fruits and Vegetables,160.992,2716.464,1890.44,2025-09-25
FDQ49,Breakfast,155.963,3285.723,2226.12,2025-09-26
FDN33,Snack Foods,95.6436,661.8052,481.43,2025-09-27
FDN27,Meat,117.2808,1523.3504,981.71,2025-09-28
FDW20,Fruits and Vegetables,122.173,369.519,212.07,2025-09-29
DRG27,Dairy,39.9138,690.4346,478.23,2025-09-30
DRI25,Soft Drinks,55.1614,1381.535,970.05,2025-10-01
FDA44,Fruits and Vegetables,57.893,622.523,412.27,2025-10-02
NCR17,Health and Hygiene,114.5492,1274.3412,897.38,2025-10-03
FDU04,Frozen Foods,120.0414,487.3656,316.18,2025-10-04
FDF41,Frozen Foods,246.046,1231.73,806.22,2025-10-05
FDB56,Fruits and Vegetables,187.4556,3755.112,2386.4,2025-10-06
NCP18,Household,149.9708,4363.6532,2422.19,2025-10-07
FDB56,Fruits and Vegetables,187.8556,1314.2892,751.22,2025-10-08
FDT28,Frozen Foods,151.0708,1805.6496,1004.46,2025-10-09
FDD10,Snack Foods,178.5344,2854.9504,1933.61,2025-10-10
FDW57,Snack Foods,179.1028,3896.2616,2387.91,2025-10-11
DRB48,Soft Drinks,38.7822,667.7974,435.21,2025-10-12
FDP09,Snack Foods,212.0902,3185.853,2330.49,2025-10-13
FDH14,Canned,141.1838,2247.7408,1348.33,2025-10-14
FDA47,Baking Goods,163.121,1794.331,1134.15,2025-10-15
FDG12,Baking Goods,121.3098,2530.7058,1774.3,2025-10-16
DRE60,Soft Drinks,225.372,679.116,404.59,2025-10-17
DRK49,Soft Drinks,41.4138,812.276,459.26,2025-10-18
FDD03,Dairy,232.53,699.09,425.01,2025-10-19
FDS52,Frozen Foods,102.4016,2732.4432,1590.95,2025-10-20
FDW39,Meat,176.937,176.437,129.85,2025-10-21
FDX34,Snack Foods,121.7098,4097.3332,2915.76,2025-10-22
FDV11,Breads,173.2054,3151.8972,2132.83,2025-10-23
FDD17,Frozen Foods,239.0906,5942.265,4303.94,2025-10-24
FDZ16,Frozen Foods,192.4478,4843.695,3442.58,2025-10-25
FDZ46,Snack Foods,109.0228,2542.0244,1492.97,2025-10-26
DRA12,Soft Drinks,140.3154,2552.6772,1859.66,2025-10-27
FDY58,Snack Foods,227.0694,1141.847,751.19,2025-10-28
NCF19,Household,47.5034,680.4476,484.13,2025-10-29
DRJ13,Soft Drinks,159.0578,2085.9514,1521.11,2025-10-30
FDB14,Canned,92.512,186.424,114.39,2025-10-31
FDJ38,Canned,190.153,3036.048,1736.65,2025-11-01
FDW11,Breads,62.7194,866.8716,516.3,2025-11-02
FDL40,Frozen Foods,95.041,868.869,552.1,2025-11-03
DRI49,Soft Drinks,82.4276,1137.1864,811.5,2025-11-04
FDV38,Dairy,52.7956,928.1252,670.24,2025-11-05
DRG23,Hard Drinks,151.7682,762.341,420.35,2025-11-06
NCP30,Household,40.2822,707.0796,461.12,2025-11-07
FDY25,Canned,180.5976,7968.2944,5047.77,2025-11-08
NCH54,Household,160.292,1438.128,854.85,2025-11-09
NCR53,Health and Hygiene,224.4404,6976.2524,4004.18,2025-11-10
FDS52,Frozen Foods,101.7016,101.2016,62.49,2025-11-11
FDG02,Canned,188.5188,952.094,703.2,2025-11-12
NCO26,Household,116.0492,1969.4364,1210.5,2025-11-13
FDH35,Starchy Foods,165.4526,5262.4832,3440.39,2025-11-14
FDB51,Dairy,60.5852,1314.2892,907.65,2025-11-15
FDX44,Fruits and Vegetables,90.8172,535.3032,333.35,2025-11-16
NCN07,Others,132.1284,263.6568,196.25,2025-11-17
NCC31,Household,154.5972,1402.1748,1041.1,2025-11-18
NCX54,Household,105.1622,1693.7952,1016.88,2025-11-19
NCO55,Others,105.5938,2143.876,1392.34,2025-11-20
NCC30,Household,177.6344,2676.516,1633.14,2025-11-21
FDI16,Frozen Foods,53.064,905.488,549.6,2025-11-22
FDP16,Frozen Foods,246.3802,7370.406,4108.1,2025-11-23
FDB11,Starchy Foods,226.8404,6301.1312,4233.81,2025-11-24
NCB06,Health and Hygiene,160.692,1597.92,1039.5,2025-11-25
FDA45,Snack Foods,178.237,529.311,296.57,2025-11-26
NCO26,Household,117.5492,1969.4364,1192.95,2025-11-27
DRJ25,Soft Drinks,50.3692,1034.6532,757.01,2025-11-28
FDR28,Frozen Foods,161.521,1794.331,1072.85,2025-11-29
FDI04,Frozen Foods,197.6426,2768.3964,1602.84,2025-11-30
DRK12,Soft Drinks,31.29,898.83,582.34,2025-12-01
FDX20,Fruits and Vegetables,226.172,3169.208,2367.81,2025-12-02
NCI18,Household,223.5746,3589.9936,2148.29,2025-12-03
FDB36,Baking Goods,132.5626,262.3252,179.54,2025-12-04
FDN13,Breakfast,99.8358,1910.1802,1341.57,2025-12-05
DRD24,Soft Drinks,140.9154,1701.7848,1016.86,2025-12-06
FDQ28,Frozen Foods,154.5656,2471.4496,1719.25,2025-12-07
FDM22,Snack Foods,54.764,1331.6,830.33,2025-12-08
FDR07,Fruits and Vegetables,97.0094,1808.9786,1223.7,2025-12-09
FDV25,Canned,222.5456,3315.684,2243.74,2025-12-10
DRF49,Soft Drinks,114.2518,2618.5914,1720.82,2025-12-11
FDW51,Meat,214.556,2769.728,1573.37,2025-12-12
DRL01,Soft Drinks,233.4958,5375.0034,3854.2,2025-12-13
FDP25,Canned,216.8824,2838.9712,1743.57,2025-12-14
FDL50,Canned,125.0046,1743.0644,1023.71,2025-12-15
NCB30,Household,198.8084,5555.4352,3100.79,2025-12-16
FDW11,Breads,61.9194,619.194,413.73,2025-12-17
NCM43,Others,164.821,2120.573,1453.68,2025-12-18
FDK44,Fruits and Vegetables,173.0738,3823.0236,2115.35,2025-12-19
FDM15,Meat,151.4366,1360.2294,887.44,2025-12-20
FDS31,Fruits and Vegetables,178.8318,3969.4996,2363.04,2025-12-21
FDI32,Fruits and Vegetables,115.1834,345.5502,234.64,2025-12-22
FDR47,Breads,196.5794,585.2382,342.29,2025-12-23
FDB35,Starchy Foods,92.6804,1010.6844,695.54,2025-12-24
NCU05,Health and Hygiene,81.4618,161.1236,101.08,2025-12-25
DRY23,Soft Drinks,42.1112,42.6112,31.42,2025-12-26
FDO24,Baking Goods,157.4604,3010.7476,1738.72,2025-12-27
FDQ28,Frozen Foods,153.0656,6024.1584,3724.21,2025-12-28
FDV39,Meat,198.1426,988.713,566.23,2025-12-29
NCO17,Health and Hygiene,117.944,239.688,176.16,2025-12-30
FDU50,Dairy,112.8176,1374.2112,996.95,2025-12-31
FDT12,Baking Goods,226.8062,4739.8302,2851.43,2026-01-01
FDK58,Snack Foods,100.0016,1012.016,690.19,2026-01-02
FDO08,Fruits and Vegetables,165.7526,657.8104,469.31,2026-01-03
NCW29,Health and Hygiene,130.431,778.986,514.94,2026-01-04
FDE04,Frozen Foods,179.766,2336.958,1532.88,2026-01-05
NCB19,Household,85.0882,2233.0932,1336.22,2026-01-06
FDV15,Meat,103.9648,1661.8368,944.95,2026-01-07
FDL58,Snack Foods,264.7568,4745.8224,3461.81,2026-01-08
FDA08,Fruits and Vegetables,164.1526,3124.5994,2281.22,2026-01-09
FDT43,Fruits and Vegetables,50.1324,467.3916,316.25,2026-01-10
NCX06,Household,182.5976,5070.7328,3132.73,2026-01-11
FDT20,Fruits and Vegetables,37.6164,540.6296,335.1,2026-01-12
FDB41,Frozen Foods,48.0718,992.7078,690.12,2026-01-13
NCN55,Others,238.8538,6008.845,4382.98,2026-01-14
FDE40,Dairy,62.9194,2105.2596,1531.4,2026-01-15
FDX49,Canned,232.63,5359.69,3783.81,2026-01-16
NCM53,Health and Hygiene,104.628,745.696,505.88,2026-01-17
FDE36,Baking Goods,161.8868,3275.736,1856.78,2026-01-18
FDN57,Snack Foods,140.2154,1701.7848,990.99,2026-01-19
FDI24,Baking Goods,177.937,6704.606,4892.42,2026-01-20
FDI19,Meat,242.7512,4119.9704,2765.68,2026-01-21
FDF24,Baking Goods,81.5934,327.5736,180.77,2026-01-22
FDG52,Frozen Foods,45.7402,780.9834,445.39,2026-01-23
DRF36,Soft Drinks,189.3846,3630.6074,2478.62,2026-01-24
FDS45,Snack Foods,107.3622,317.5866,174.99,2026-01-25
FDX40,Frozen Foods,39.7164,231.6984,134.89,2026-01-26
DRK12,Soft Drinks,32.99,133.16,87.85,2026-01-27
DRC27,Dairy,245.1802,5650.6446,3889.79,2026-01-28
FDL58,Snack Foods,263.7568,2636.568,1793.9,2026-01-29
NCD30,Household,96.0726,1272.3438,756.86,2026-01-30
NCZ54,Household,161.5552,324.9104,224.98,2026-01-31
FDE10,Snack Foods,130.0626,131.1626,78.36,2026-02-01
FDR44,Fruits and Vegetables,131.2968,260.9936,160.53,2026-02-02
FDP28,Frozen Foods,260.0936,260.9936,182.51,2026-02-03
FDX15,Meat,160.6578,3690.5294,2509.29,2026-02-04
FDA39,Meat,40.2822,1139.1838,820.04,2026-02-05
FDY24,Baking Goods,52.9298,1995.4026,1359.91,2026-02-06
FDC60,Baking Goods,88.3514,1416.8224,940.29,2026-02-07
FDH28,Frozen Foods,37.2506,265.6542,151.09,2026-02-08
FDT25,Canned,121.7072,3552.7088,2215.27,2026-02-09
DRJ13,Soft Drinks,161.5578,2406.867,1451.44,2026-02-10
NCO07,Others,211.956,213.056,127.58,2026-02-11
FDW20,Fruits and Vegetables,124.173,2956.152,2201.16,2026-02-12
DRF27,Dairy,152.134,153.134,96.26,2026-02-13
FDS49,Canned,79.7644,1649.8524,1201.77,2026-02-14
FDX25,Canned,181.9292,3101.2964,2097.18,2026-02-15
NCX42,Household,165.6526,4769.1254,3381.13,2026-02-16
FDG33,Seafood,170.4764,3435.528,2234.91,2026-02-17
FDL56,Fruits and Vegetables,86.4198,1133.8574,754.45,2026-02-18
FDF14,Canned,152.334,2603.278,1688.23,2026-02-19
NCD06,Household,45.406,605.878,356.89,2026-02-20
DRM47,Hard Drinks,192.8846,2293.0152,1592.48,2026-02-21
FDS46,Snack Foods,118.7782,119.1782,72.24,2026-02-22
FDB35,Starchy Foods,92.9804,1929.4884,1070.6,2026-02-23
FDX21,Snack Foods,109.8912,2074.6328,1408.87,2026-02-24
NCU05,Health and Hygiene,79.9618,241.6854,141.49,2026-02-25
NCR38,Household,251.3724,6795.1548,5015.45,2026-02-26
NCR18,Household,42.7112,639.168,473.49,2026-02-27
NCU41,Health and Hygiene,192.1846,3248.4382,2381.02,2026-02-28
FDY56,Fruits and Vegetables,227.6062,7222.5984,4507.13,2026-03-01
DRJ51,Dairy,229.0668,3225.1352,1783.79,2026-03-02
FDK21,Snack Foods,249.0408,3755.112,2762.5,2026-03-03
FDY25,Canned,179.3976,3440.8544,2187.13,2026-03-04
FDU44,Fruits and Vegetables,163.4552,974.7312,724.55,2026-03-05
FDL43,Meat,75.367,535.969,398.08,2026-03-06
FDF05,Frozen Foods,262.491,5259.82,3790.24,2026-03-07
DRF15,Dairy,152.034,306.268,186.48,2026-03-08
FDL20,Fruits and Vegetables,112.3886,1779.0176,1115.48,2026-03-09
FDV32,Fruits and Vegetables,61.451,759.012,546.66,2026-03-10
FDJ34,Snack Foods,125.9704,1877.556,1151.66,2026-03-11
FDG08,Fruits and Vegetables,171.8764,3779.0808,2206.6,2026-03-12
FDQ04,Frozen Foods,41.5796,41.2796,27.3,2026-03-13
FDW13,Canned,51.1324,259.662,191.43,2026-03-14
NCI17,Health and Hygiene,96.341,193.082,133.07,2026-03-15
FDY03,Meat,110.9202,1687.803,1120.72,2026-03-16
FDS12,Baking Goods,127.5362,4655.9394,2651.26,2026-03-17
FDJ55,Meat,225.9404,4950.8888,3331.96,2026-03-18
DRK01,Soft Drinks,95.4436,1418.154,1060.79,2026-03-19
FDG28,Frozen Foods,246.4144,1225.072,708.11,2026-03-20
FDY38,Dairy,231.03,5359.69,3503.45,2026-03-21
FDN01,Breakfast,176.237,1764.37,1280.01,2026-03-22
NCR54,Household,195.211,2553.343,1782.63,2026-03-23
FDG29,Frozen Foods,43.3454,1006.6896,694.01,2026-03-24
FDG24,Baking Goods,85.225,1081.925,747.07,2026-03-25
FDG59,Starchy Foods,36.7164,308.9312,192.12,2026-03-26
FDM28,Frozen Foods,178.666,2516.724,1531.98,2026-03-27
FDW04,Frozen Foods,128.831,1428.141,1016.65,2026-03-28
FDS26,Dairy,260.1594,2093.2752,1490.46,2026-03-29
FDQ56,Fruits and Vegetables,85.6908,1929.4884,1395.82,2026-03-30
FDK51,Dairy,264.0884,5829.7448,4271.15,2026-03-31
FDL22,Snack Foods,91.4488,2082.6224,1358.43,2026-04-01
FDH19,Meat,173.1738,7298.4996,4746.24,2026-04-02
FDY55,Fruits and Vegetables,256.4988,7452.9652,5289.06,2026-04-03
FDY03,Meat,110.5202,450.0808,306.05,2026-04-04
FDK21,Snack Foods,250.4408,500.6816,345.67,2026-04-05
FDZ10,Snack Foods,126.202,3668.558,2601.59,2026-04-06
FDZ32,Fruits and Vegetables,103.1964,736.3748,536.08,2026-04-07
NCZ18,Household,253.0698,6088.0752,3759.99,2026-04-08
NCF07,Household,101.0016,2125.2336,1328.52,2026-04-09
DRE49,Soft Drinks,153.0024,2277.036,1295.17,2026-04-10
FDJ08,Fruits and Vegetables,190.3846,573.2538,381.59,2026-04-11
FDT39,Meat,151.1366,2267.049,1263.17,2026-04-12
FDE08,Fruits and Vegetables,147.3734,296.9468,190.97,2026-04-13
NCD06,Household,46.306,559.272,368.3,2026-04-14
FDB57,Fruits and Vegetables,222.1772,5559.43,3376.29,2026-04-15
NCT54,Household,95.5094,1237.7222,827.0,2026-04-16
DRF49,Soft Drinks,113.5518,569.259,316.56,2026-04-17
FDM25,Breakfast,174.0712,3866.9664,2155.72,2026-04-18
FDF20,Fruits and Vegetables,198.4768,1379.5376,985.71,2026-04-19
FDH27,Dairy,142.7128,1869.5664,1162.94,2026-04-20
FDV60,Baking Goods,196.211,5499.508,3164.48,2026-04-21
FDY59,Baking Goods,94.3462,925.462,605.67,2026-04-22
FDK36,Baking Goods,47.9034,583.2408,410.6,2026-04-23
NCM31,Others,141.4154,1418.154,841.2,2026-04-24
FDE33,Fruits and Vegetables,80.2644,942.7728,635.97,2026-04-25
FDU36,Baking Goods,99.3384,2364.9216,1341.07,2026-04-26
FDV13,Canned,87.9856,3251.7672,1822.08,2026-04-27
FDV20,Fruits and Vegetables,125.2678,254.3356,166.91,2026-04-28
NCQ54,Household,167.0474,5895.659,3880.09,2026-04-29
FDO23,Breads,93.7436,1134.5232,768.62,2026-04-30
DRE60,Soft Drinks,224.972,7696.648,5350.85,2026-05-01
DRP47,Hard Drinks,250.5382,2775.7202,2068.38,2026-05-02
FDB21,Fruits and Vegetables,241.2854,5317.0788,3473.44,2026-05-03
FDR04,Frozen Foods,98.0068,874.8612,537.68,2026-05-04
FDX23,Baking Goods,92.6436,1039.9796,737.38,2026-05-05
FDX19,Fruits and Vegetables,235.0958,3038.0454,1835.49,2026-05-06
FDD40,Dairy,193.6162,3848.324,2454.44,2026-05-07
FDA01,Canned,59.1904,527.3136,298.3,2026-05-08
FDS33,Snack Foods,89.1514,2390.8878,1327.11,2026-05-09
FDM50,Canned,60.222,1677.816,1245.83,2026-05-10
FDB29,Frozen Foods,112.7176,801.6232,574.92,2026-05-11
FDF46,Snack Foods,115.5834,1267.0174,873.22,2026-05-12
FDA33,Snack Foods,148.0076,886.8456,560.3,2026-05-13
FDC08,Fruits and Vegetables,228.272,452.744,264.7,2026-05-14
FDB53,Frozen Foods,147.5392,3877.6192,2254.01,2026-05-15
FDY31,Fruits and Vegetables,146.6418,4414.254,2648.77,2026-05-16
DRQ35,Hard Drinks,122.4388,5448.9072,3595.44,2026-05-17
FDX36,Baking Goods,223.9404,4950.8888,3430.57,2026-05-18
DRD13,Soft Drinks,62.6168,958.752,653.91,2026-05-19
FDC52,Dairy,149.9708,1956.1204,1185.38,2026-05-20
FDB45,Fruits and Vegetables,103.2306,2404.2038,1781.45,2026-05-21
NCK19,Others,194.3478,387.4956,270.31,2026-05-22
FDV51,Meat,165.0842,994.7052,657.37,2026-05-23
FDZ35,Breads,101.299,1754.383,1179.55,2026-05-24
NCW17,Health and Hygiene,129.9994,3340.9844,2117.92,2026-05-25
FDV59,Breads,216.7166,3918.8988,2349.56,2026-05-26
DRH39,Dairy,76.367,306.268,190.25,2026-05-27
FDN60,Baking Goods,158.4604,4278.4308,3001.62,2026-05-28
FDU55,Fruits and Vegetables,260.6278,4425.5726,2446.8,2026-05-29
FDN58,Snack Foods,230.9984,9267.936,5312.52,2026-05-30
FDC41,Frozen Foods,76.867,229.701,128.45,2026-05-31
FDO01,Breakfast,129.3994,2055.9904,1147.54,2026-06-01
NCO43,Others,101.3016,3339.6528,2408.2,2026-06-02
FDQ07,Fruits and Vegetables,221.7456,6410.3224,4427.81,2026-06-03
FDF28,Frozen Foods,122.9046,1992.0736,1284.56,2026-06-04
FDM01,Breakfast,104.4332,2870.9296,1635.19,2026-06-05
FDY49,Canned,164.5184,2807.0128,1819.85,2026-06-06
FDR24,Baking Goods,88.183,539.298,347.68,2026-06-07
NCY18,Household,174.3054,4377.635,2559.34,2026-06-08
NCY30,Household,180.9976,2716.464,1729.76,2026-06-09
FDJ22,Snack Foods,190.9504,383.5008,241.49,2026-06-10
DRI37,Soft Drinks,59.5904,703.0848,473.3,2026-06-11
FDL27,Meat,66.3826,1937.478,1311.71,2026-06-12
NCO30,Household,182.2608,3307.6944,1849.2,2026-06-13
NCB07,Household,197.611,3142.576,1963.87,2026-06-14
FDX25,Canned,181.2292,2554.0088,1724.4,2026-06-15
FDP59,Breads,104.0648,1869.5664,1216.39,2026-06-16
FDR59,Breads,260.4594,5494.8474,3963.42,2026-06-17
FDT27,Meat,233.1616,6093.4016,4154.11,2026-06-18
DRI01,Soft Drinks,174.0422,2586.633,1506.94,2026-06-19
FDU09,Snack Foods,55.2956,1255.6988,708.36,2026-06-20
FDH26,Canned,141.7496,4093.3384,2777.26,2026-06-21
FDH27,Dairy,142.2128,3163.8816,1756.91,2026-06-22
FDN39,Meat,166.0816,5033.448,3358.09,2026-06-23
FDH40,Frozen Foods,79.9276,1137.1864,839.3,2026-06-24
FDJ56,Fruits and Vegetables,98.77,2696.49,1793.42,2026-06-25
DRN47,Hard Drinks,178.566,898.83,564.14,2026-06-26
NCO17,Health and Hygiene,118.244,2756.412,1870.66,2026-06-27
FDX60,Baking Goods,81.896,878.856,563.92,2026-06-28
FDT22,Snack Foods,58.222,659.142,434.46,2026-06-29
FDX26,Dairy,182.6292,182.4292,134.69,2026-06-30
FDG45,Fruits and Vegetables,211.4902,3610.6334,2264.66,2025-07-01
FDD44,Fruits and Vegetables,256.4646,5153.292,3824.97,2025-07-02
FDS15,Meat,108.7596,2588.6304,1892.47,2025-07-03
FDL51,Dairy,212.5876,1286.3256,757.85,2025-07-04
FDL32,Fruits and Vegetables,110.1544,1230.3984,693.79,2025-07-05
FDZ07,Fruits and Vegetables,60.2194,1733.7432,988.5,2025-07-06
NCW53,Health and Hygiene,193.8162,384.8324,213.06,2025-07-07
NCA54,Household,180.0318,3969.4996,2258.2,2025-07-08
FDX09,Snack Foods,176.437,7763.228,5330.24,2025-07-09
FDO51,Meat,41.2112,809.6128,456.81,2025-07-10
FDW49,Canned,178.6002,1253.7014,769.52,2025-07-11
FDB27,Dairy,195.2768,5715.2272,4109.11,2025-07-12
FDF45,Fruits and Vegetables,57.7904,1464.76,812.44,2025-07-13
FDV02,Dairy,169.8106,3251.1014,2317.69,2025-07-14
FDY28,Frozen Foods,214.3218,4274.436,2591.89,2025-07-15
FDX31,Fruits and Vegetables,231.7958,5375.0034,3083.28,2025-07-16
FDR43,Fruits and Vegetables,38.019,1318.284,908.76,2025-07-17
FDP51,Meat,119.4124,2251.7356,1521.7,2025-07-18
FDL52,Frozen Foods,37.4506,1176.4686,853.52,2025-07-19
FDR44,Fruits and Vegetables,130.4968,3523.4136,2455.87,2025-07-20
FDB34,Snack Foods,86.2198,610.5386,433.91,2025-07-21
FDC50,Canned,96.4094,1237.7222,750.56,2025-07-22
FDT57,Snack Foods,235.1248,474.0496,277.55,2025-07-23
FDP22,Snack Foods,52.6666,717.7324,502.5,2025-07-24
DRE49,Soft Drinks,150.5024,2580.6408,1835.78,2025-07-25
FDM40,Frozen Foods,143.2154,2552.6772,1909.66,2025-07-26
FDY32,Fruits and Vegetables,164.021,3914.904,2476.27,2025-07-27
FDW07,Fruits and Vegetables,88.5514,796.9626,497.63,2025-07-28
FDU02,Dairy,228.9352,916.1408,646.14,2025-07-29
NCF18,Household,191.3504,3259.7568,2015.05,2025-07-30
FDQ56,Fruits and Vegetables,84.8908,1677.816,1235.13,2025-07-31
FDN58,Snack Foods,230.0984,3707.1744,2675.4,2025-08-01
FDG35,Starchy Foods,173.5738,2954.1546,1878.25,2025-08-02
FDY34,Snack Foods,166.4842,2652.5472,1857.25,2025-08-03
NCE19,Household,52.7956,1037.3164,727.06,2025-08-04
NCK31,Others,50.9666,717.7324,409.56,2025-08-05
NCJ29,Health and Hygiene,86.1224,426.112,311.28,2025-08-06
FDT59,Breads,231.1668,6911.004,4499.41,2025-08-07
NCX41,Health and Hygiene,211.0244,3811.0392,2726.0,2025-08-08
FDU45,Snack Foods,115.3518,2277.036,1398.12,2025-08-09
FDW24,Baking Goods,48.9034,48.6034,35.44,2025-08-10
FDF22,Snack Foods,212.8218,5770.4886,3622.95,2025-08-11
FDM60,Baking Goods,40.2138,690.4346,381.24,2025-08-12
FDR02,Dairy,110.2886,1890.2062,1381.89,2025-08-13
DRP35,Hard Drinks,126.2336,3195.84,1816.06,2025-08-14
FDS48,Baking Goods,150.1708,1504.708,923.68,2025-08-15
NCZ42,Household,238.3248,711.0744,526.2,2025-08-16
FDZ38,Dairy,174.2422,4311.055,3190.7,2025-08-17
FDH19,Meat,175.4738,521.3214,346.52,2025-08-18
NCB55,Household,59.4562,829.5868,561.11,2025-08-19
